function	header	classification	citation
kl_sockaddr_parse	sockaddr.h	unreviewed	-
kl_sockaddr_port	sockaddr.h	unreviewed	-
kl_sockaddr_set_port	sockaddr.h	unreviewed	-
kl_socket_provider_destroy	socket.h	unreviewed	-
kl_socket_provider_has_cap	socket.h	unreviewed	-
kl_socket_provider_posix	socket.h	unreviewed	-
kl_socket_provider_winsock	socket.h	unreviewed	-
kl_stream_cancel	stream.h	unreviewed	-
kl_stream_close_begin	stream.h	unreviewed	-
kl_stream_close_init	stream.h	unreviewed	-
kl_stream_close_state	stream.h	unreviewed	-
kl_stream_flush	stream.h	unreviewed	-
kl_stream_init	stream.h	unreviewed	-
kl_stream_is_detached	stream.h	unreviewed	-
kl_stream_on_recv	stream.h	unreviewed	-
kl_stream_on_write_complete	stream.h	unreviewed	-
kl_stream_pause	stream.h	unreviewed	-
kl_stream_read_close	stream.h	unreviewed	-
kl_stream_read_held	stream.h	unreviewed	-
kl_stream_read_init	stream.h	unreviewed	-
kl_stream_read_start	stream.h	unreviewed	-
kl_stream_resume	stream.h	unreviewed	-
kl_stream_set_cancel	stream.h	unreviewed	-
kl_stream_set_submit	stream.h	unreviewed	-
kl_stream_set_writer	stream.h	unreviewed	-
kl_stream_write	stream.h	unreviewed	-
kl_stream_write_free	stream.h	unreviewed	-
kl_stream_write_init	stream.h	unreviewed	-
kl_stream_write_pending	stream.h	unreviewed	-
kl_strerror	error.h	unreviewed	-
kl_systemd_listen_fd	http_server.h	unreviewed	-
kl_systemd_listen_fd_by_name	http_server.h	unreviewed	-
kl_systemd_listen_fds	http_server.h	unreviewed	-
kl_thread_pool_create	thread_pool.h	unreviewed	-
kl_thread_pool_free	thread_pool.h	unreviewed	-
kl_thread_pool_submit	thread_pool.h	unreviewed	-
kl_timer_add	timer.h	unreviewed	-
kl_timer_cancel	timer.h	unreviewed	-
kl_timer_fire	timer.h	unreviewed	-
kl_timer_next_timeout	timer.h	unreviewed	-
kl_tls_vtable_valid	tls.h	unreviewed	-
kl_url_parse	url.h	unreviewed	-
kl_url_resolve	url.h	unreviewed	-
kl_version	freestanding.h	unreviewed	-
kl_version_number	freestanding.h	unreviewed	-
kl_watcher_add	event_ctx.h	unreviewed	-
kl_watcher_del	event_ctx.h	unreviewed	-
kl_watcher_mod	event_ctx.h	unreviewed	-
kl_watcher_rearm	event_ctx.h	unreviewed	-
kl_ws_client_close	websocket_client.h	unreviewed	-
kl_ws_client_connect	websocket_client.h	unreviewed	-
kl_ws_client_free	websocket_client.h	unreviewed	-
kl_ws_client_send_binary	websocket_client.h	unreviewed	-
kl_ws_client_send_ping	websocket_client.h	unreviewed	-
kl_ws_client_send_text	websocket_client.h	unreviewed	-
kl_ws_frame_init	websocket.h	unreviewed	-
kl_ws_frame_parse	websocket.h	unreviewed	-
kl_ws_server_close	websocket_server.h	unreviewed	-
kl_ws_server_config_init	websocket_server.h	unreviewed	-
kl_ws_server_enable_drain	websocket_server.h	unreviewed	-
kl_ws_server_peer_cred	websocket_server.h	unreviewed	-
kl_ws_server_send_binary	websocket_server.h	unreviewed	-
kl_ws_server_send_ping	websocket_server.h	unreviewed	-
kl_ws_server_send_text	websocket_server.h	unreviewed	-
kl_event_ctx_loop	event_ctx.h	unreviewed	-
kl_event_ctx_loop_const	event_ctx.h	unreviewed	-
kl_http_conn_response	http_connection.h	unreviewed	-
kl_http_conn_response_const	http_connection.h	unreviewed	-
kl_http_server_bound_port	http_server.h	unreviewed	-
kl_http_server_event_ctx	http_server.h	unreviewed	-
kl_http_server_event_ctx_const	http_server.h	unreviewed	-
